主旨,開始日期,星期,開始時間,結束日期,結束時間,全天,提醒開啟關閉,提醒日期,提醒時間,會議召集人,出席者,列席者,會議資源,地點,私人,津貼,帳目資訊,敏感度,描述,優先順序,類別,顯示時間為,說明
"[Introduction to Surgery]:Intro_lec_17, 臨床外科學的介紹及外科學倫理觀,張世慶",9/11/2023,一,10:10,9/11/2023,11:00,FALSE,FALSE,9/19/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張世慶
"[Introduction to Surgery]:Intro_lec_31, Wound Healing,彭成康",9/11/2023,一,11:10,9/11/2023,12:00,FALSE,FALSE,9/19/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,彭成康
"[Pharmacology]:Intro_lec_04, An introduction to pharmacology : PD,嚴錦城",9/11/2023,一,13:20,9/11/2023,14:10,FALSE,FALSE,9/19/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴錦城
"[Pharmacology]:Intro_lec_03, An introduction to pharmacology: PK,胡德民",9/11/2023,一,14:20,9/11/2023,15:10,FALSE,FALSE,9/19/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,胡德民
"[Rehabilitation Medicine]:Intro_lec_01, Introduction to Rehabilitation (modalities and therapueitc exercise),高崇蘭",9/11/2023,一,15:30,9/11/2023,16:20,FALSE,FALSE,9/19/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,高崇蘭
"[Rehabilitation Medicine]:Intro_lec_02, Introduction to Rehabilitation (Prosthesis and orthosis),張誌剛",9/11/2023,一,16:30,9/11/2023,17:20,FALSE,FALSE,9/19/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張誌剛
"[PAS]:PAS_01, 醫療與社會(A時段),-",9/12/2023,二,8:00,9/12/2023,8:50,FALSE,FALSE,9/20/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_01, 醫療與社會(A時段),-",9/12/2023,二,9:00,9/12/2023,9:50,FALSE,FALSE,9/20/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Radiotherapy]:Intro_lec_14, Basic principles of radiation therapy, treatment planning and techniques,劉裕明",9/12/2023,二,10:10,9/12/2023,11:00,FALSE,FALSE,9/20/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,劉裕明
"[Pharmacology]:Intro_lec_05, Drug development & clinical trial,林滿玉",9/12/2023,二,11:10,9/12/2023,12:00,FALSE,FALSE,9/20/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林滿玉
"[Pathology&Laboratory]:Intro_lec_27, Cellular pathology,許志怡",9/12/2023,二,13:20,9/12/2023,14:10,FALSE,FALSE,9/20/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許志怡
"[Pathology&Laboratory]:Intro_lec_28, Cellular pathology,許志怡",9/12/2023,二,14:20,9/12/2023,15:10,FALSE,FALSE,9/20/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許志怡
"[Pathology&Laboratory]:Intro_lec_29, Cellular pathology,許志怡",9/12/2023,二,15:30,9/12/2023,16:20,FALSE,FALSE,9/20/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許志怡
"[Pathology&Laboratory]:Intro_lec_30, Cellular pathology,許志怡",9/12/2023,二,16:30,9/12/2023,17:20,FALSE,FALSE,9/20/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許志怡
"[Imaging Diagnosis]:Intro_lec_11, Ultrasonography Application in soft  tissue/ small parts,邱宏仁",9/13/2023,三,10:10,9/13/2023,11:00,FALSE,FALSE,9/21/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,邱宏仁
"[Pharmacology]:Intro_lec_08, Cholinergic pharmacology,霍德義",9/13/2023,三,11:10,9/13/2023,12:00,FALSE,FALSE,9/21/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,霍德義
"[Otolarynglolgy]:Ent_15, Clinical Audiology,楊宗翰",9/13/2023,三,13:20,9/13/2023,14:10,FALSE,FALSE,9/21/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,楊宗翰
"[Otolarynglolgy]:Ent_16, Clinical Audiology,楊宗翰",9/13/2023,三,14:20,9/13/2023,15:10,FALSE,FALSE,9/21/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,楊宗翰
"[Pharmacology]:Intro_lec_16, Adrenergic pharmacology (1),嚴錦城",9/13/2023,三,15:30,9/13/2023,16:20,FALSE,FALSE,9/21/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴錦城
"[Pharmacology]:Intro_lec_32, Adrenergic pharmacology (2),嚴錦城",9/13/2023,三,16:30,9/13/2023,17:20,FALSE,FALSE,9/21/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,嚴錦城
"[Imaging Diagnosis]:Intro_lec_25, Introduction to radiology-1,吳銘庭",9/14/2023,四,10:10,9/14/2023,11:00,FALSE,FALSE,9/22/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳銘庭
"[Imaging Diagnosis]:Intro_lec_26, Introduction to radiology-2,吳銘庭",9/14/2023,四,11:10,9/14/2023,12:00,FALSE,FALSE,9/22/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳銘庭
"[Otolarynglolgy]:Ent_07, Otoneurology,丁冠中",9/14/2023,四,13:20,9/14/2023,14:10,FALSE,FALSE,9/22/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,丁冠中
